
Memstat for j721e r5f release build...

Library Name                            :         CODE         DATA          BSS
---------------------------------------------------------------------------------
csirx.aer5f(mcu2_0)                     :        13860         3855       217856
csitx.aer5f(mcu2_0)                     :        12880        27609        11776
dss.aer5f(mcu2_0)                       :        81686       185446       135200
enet.aer5f(r5f)                         :       108430        31119        61636
enet_cfgserver_freertos.aer5f(r5f)      :         9446         2787        16640
enet_intercore.aer5f(r5f)               :          978          113       131152
enetphy.aer5f(mcu1_0)                   :        10078         4353         3629
enetphy.aer5f(mcu2_0)                   :        10078         4353         3629
enetphy.aer5f(mcu2_1)                   :        10078         4353         3629
enetsoc.aer5f(mcu1_0)                   :         1830        78309            0
enetsoc.aer5f(mcu2_0)                   :         1830        78309            0
enetsoc.aer5f(mcu2_1)                   :         1830        78309            0
fvid2.aer5f(r5f)                        :         9290         8890         2736
ipc.aer5f(mcu1_0)                       :         9042         4889         8024
ipc.aer5f(mcu1_1)                       :         9042         4889         8024
ipc.aer5f(mcu2_0)                       :         9042         4889         8024
ipc.aer5f(mcu2_1)                       :         9042         4889         8024
ipc.aer5f(mcu3_0)                       :         9042         4889         8024
ipc.aer5f(mcu3_1)                       :         9042         4889         8024
ipc_baremetal.aer5f(mcu1_0)             :         8262         4714         8024
ipc_baremetal.aer5f(mcu1_1)             :         8262         4714         8024
ipc_baremetal.aer5f(mcu2_0)             :         8262         4714         8024
ipc_baremetal.aer5f(mcu2_1)             :         8262         4714         8024
ipc_baremetal.aer5f(mcu3_0)             :         8262         4714         8024
ipc_baremetal.aer5f(mcu3_1)             :         8262         4714         8024
lpm.aer5f(r5f)                          :         6528         6930     69176600
lwipcontrib_freertos.aer5f(r5f)         :        31644        23236         4616
lwipif_freertos.aer5f(r5f)              :        12756          713       395912
lwipific_freertos.aer5f(r5f)            :         1872         1457      8283144
lwipport_freertos.aer5f(r5f)            :         3212          747           16
lwipstack_freertos.aer5f(r5f)           :       257672        41019         4448
pmic.aer5f(r5f)                         :        38260         1862            0
pm_lib.aer5f(r5f)                       :          978            0            0
pm_lib_optimized.aer5f(r5f)             :          978            0            0
rm_pm_hal.aer5f(mcu1_0)                 :        48986        51536         6023
sbl_lib_cust.aer5f(r5f)                 :         9516         5013          104
sbl_lib_cust_hs.aer5f(r5f)              :         9524         5013          104
sbl_lib_emmc.aer5f(r5f)                 :        10712         5865            4
sbl_lib_hyperflash.aer5f(r5f)           :        10272         5554            4
sbl_lib_hyperflash_hlos.aer5f(r5f)      :        10272         5554            4
sbl_lib_hyperflash_hlos_hs.aer5f(r5f)   :        10280         5554            4
sbl_lib_hyperflash_hs.aer5f(r5f)        :        10280         5554            4
sbl_lib_mmcsd.aer5f(r5f)                :        11218         5875            4
sbl_lib_mmcsd_hlos.aer5f(r5f)           :        11218         5875            4
sbl_lib_mmcsd_hlos_hs.aer5f(r5f)        :        11260         5928            4
sbl_lib_mmcsd_hs.aer5f(r5f)             :        11260         5928            4
sbl_lib_ospi.aer5f(r5f)                 :        11362         5745          104
sbl_lib_ospi_hlos.aer5f(r5f)            :        11454         5783          104
sbl_lib_ospi_hlos_hs.aer5f(r5f)         :        11462         5783          104
